Algoritmo,Tiempo,Instancia
DP,0.028239,mochila_chica_n10_no_conflict.txt
DP,0.476035,mochila_chica_n20_no_conflict.txt
DP,1.336573,mochila_chica_n30_no_conflict.txt
DP,3.137754,mochila_chica_n40_no_conflict.txt
DP,6.546961,mochila_chica_n50_no_conflict.txt
DP,11.886208,mochila_chica_n60_no_conflict.txt
DP,19.417790,mochila_chica_n70_no_conflict.txt
DP,29.524556,mochila_chica_n80_no_conflict.txt
DP,49.244667,mochila_chica_n90_no_conflict.txt
DP,69.282712,mochila_chica_n100_no_conflict.txt
DP,1.248985,mochila_apretada_n10_no_conflict.txt
DP,2.397090,mochila_apretada_n20_no_conflict.txt
DP,3.790627,mochila_apretada_n30_no_conflict.txt
DP,4.883598,mochila_apretada_n40_no_conflict.txt
DP,6.029030,mochila_apretada_n50_no_conflict.txt
DP,7.315469,mochila_apretada_n60_no_conflict.txt
DP,8.522523,mochila_apretada_n70_no_conflict.txt
DP,9.960875,mochila_apretada_n80_no_conflict.txt
